"Ssite","SID","SSID","Rep","Trtmt","TrtmtCode","Pres_Abs","Size1","Size2","SizeFlw","SizeH","BranchesH","LTFrt","WetWtAll","DryWtAll","WetWtFrt","DryWtFrt","DateH","WCAll","WCFrt","FlwH","Herbivory","DateFlw","JDateFlw","BranchesFlw","DateFrt","JDateFrt","DFlw","FlwDuration","LogSizeH","sqrtSizeH","rankSizeH","LogBranchesH","sqrtBranchesH","rankBranchesH","LogLTFrt","sqrtLTFrt","rankLTFrt","LogWetWtAll","sqrtWetWtAll","rankWetWtAll","LogDryWtAll","sqrtDryWtAll","rankDryWtAll","LogWetWtFrt","sqrtWetWtFrt","rankWetWtFrt","LogDryWtFrt","sqrtDryWtFrt","rankDryWtFrt","LogWCAll","sqrtWCAll","rankWCAll","LogWCFrt","sqrtWCFrt","rankWCFrt","WCAll2","WCFrt2"
"AR","4","AR4","1","0.5","A","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,231,NA,NA,231,NA,NA,231,NA,NA,231,NA,NA,231,NA,NA,231,NA,NA,231,NA,NA,231,NA,NA
"AR","6","AR6","1","0.5","A","2",11.5,37.1,NA,37.6,5,16,6.45,0.87,2.49,0.31,"26-Jul-16",5.58,2.18,0,0,NA,NA,NA,NA,NA,NA,NA,1.58658730467175,6.17251974480439,164.5,0.778151250383644,2.34520787991171,158,1.23044892137827,4.06201920231798,138,0.872156272748293,2.63628526529281,176.5,0.271841606536499,1.17046999107196,151,0.54282542695918,1.72916164657906,167,0.117271295655764,0.9,142.5,0.818225893613955,2.46576560118759,182,0.502427119984433,1.63707055437449,169.5,86.5116279069767,87.5502008032128
"AR","12","AR12","1","0.5","A","2",10.9,36.7,NA,36.6,3,21,6.55,1.08,2.51,0.38,"26-Jul-16",5.47,2.13,0,0,NA,NA,NA,NA,NA,NA,NA,1.57518784492766,6.09097693313642,145.5,0.602059991327962,1.87082869338697,105,1.34242268082221,4.63680924774785,178,0.877946951629188,2.65518360947035,181.5,0.318063334962762,1.25698050899765,183.5,0.545307116465824,1.73493515728975,168,0.139879086401236,0.938083151964686,169.5,0.8109042806687,2.44335834457412,180,0.495544337546448,1.62172747402269,165.5,83.5114503816794,84.8605577689243
"AR","14","AR14","1","0.5","A","2",12.7,35,NA,34.9,6,25,7.34,0.99,3.46,0.42,"26-Jul-16",6.35,3.04,0,0,NA,NA,NA,NA,NA,NA,NA,1.55509444857832,5.94978991225741,120.5,0.845098040014257,2.54950975679639,180.5,1.41497334797082,5.04975246918104,198,0.921166050637739,2.8,201.5,0.298853076409707,1.22065556157337,169.5,0.649334858712142,1.98997487421324,212,0.152288344383056,0.959166304662544,183,0.866287339084195,2.61725046566048,205,0.606381365110605,1.88148877222268,212,86.5122615803815,87.8612716763006
"AR","114","AR114","1","0.5","A","2",8.7,24.5,NA,25.8,0,7,3.24,0.41,1.15,0.13,"26-Jul-16",2.83,1.02,0,0,NA,NA,NA,NA,NA,NA,NA,1.42813479402879,5.12835256198323,32,0,0.707106781186548,25.5,0.903089986991944,2.73861278752583,32,0.627365856592733,1.93390796058137,64,0.14921911265538,0.953939201416946,45.5,0.332438459915605,1.28452325786651,63,0.0530784434834197,0.793725393319377,49,0.583198773968623,1.82482875908947,71,0.305351369446624,1.2328828005938,68,87.3456790123457,88.695652173913
"AR","2","AR2","1","1","B","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,NA,NA,232,NA,NA,232,NA,NA,232,NA,NA,232,NA,NA,232,NA,NA,232,NA,NA,232,NA,NA,232,NA,NA
"AR","4","AR4","1","1","B","2",0.5,12.6,NA,22,1,12,4.33,0.59,1.63,0.19,"08-Aug-16",3.74,1.44,0,0,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,4.74341649025257,15.5,0.301029995663981,1.22474487139159,60.5,1.11394335230684,3.53553390593274,87,0.726727209026572,2.19772609758359,107.5,0.201397124320451,1.04403065089105,86,0.419955748489758,1.45945195193264,102,0.0755469613925307,0.830662386291807,87,0.675778341674085,2.0591260281974,111,0.387389826338729,1.39283882771841,105,86.3741339491917,88.3435582822086
"AR","6","AR6","1","1","B","2",8.5,32,NA,31.5,3,16,5.52,0.65,2.34,0.26,"26-Jul-16",4.87,2.08,0,0,NA,NA,NA,NA,NA,NA,NA,1.51188336097887,5.65685424949238,79.5,0.602059991327962,1.87082869338697,105,1.23044892137827,4.06201920231798,138,0.81424759573192,2.45356882927706,151,0.217483944213906,1.07238052947636,103,0.523746466811564,1.68522995463527,157.5,0.100370545117563,0.871779788708135,121,0.768638101247614,2.31732604525129,160,0.488550716500444,1.6062378404209,164,88.2246376811594,88.8888888888889
"AR","12","AR12","1","1","B","2",11.6,31,NA,30,0,14,3.68,0.5,1.72,0.23,"26-Jul-16",3.18,1.49,0,0,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,5.52268050859363,64.5,0,0.707106781186548,25.5,1.17609125905568,3.80788655293195,112.5,0.670245853074124,2.04450483002609,81,0.176091259055681,1,66,0.434568904034199,1.48996644257513,108,0.0899051114393979,0.854400374531753,104.5,0.621176281775035,1.91833260932509,84,0.396199347095736,1.41067359796659,111,86.4130434782609,86.6279069767442
"AR","14","AR14","1","1","B","2",13,35.4,NA,35.7,0,15,5.34,0.72,2.14,0.27,"26-Jul-16",4.62,1.87,0,0,NA,NA,NA,NA,NA,NA,NA,1.56466606425209,6.01664358259653,131,0,0.707106781186548,25.5,1.20411998265592,3.93700393700591,126.5,0.802089257881733,2.41660919471891,146,0.235528446907549,1.10453610171873,118.5,0.496929648073215,1.62480768092719,140,0.103803720955957,0.877496438739212,124.5,0.749736315569061,2.26274169979695,151,0.457881896733992,1.53948043183407,145,86.5168539325843,87.3831775700935
